year,bea_code,sector_name,target,net_social_output,fulfillment,harmony
2019,111CA,Farms,59659.93787537644,54913.53967722559,0.9204424549005467,0.45556479605149364
2019,113FF,"Forestry, fishing, and related activities",0.0,1.5006662579253316e-11,nan,nan
2019,211,Oil and gas extraction,0.0,-5.275069270282984e-11,nan,nan
2019,212,"Mining, except oil and gas",26144.307073948687,24064.33018481907,0.9204424549005472,0.4555647960514937
2019,213,Support activities for mining,2892.384159373601,2662.2731761693153,0.920442454900555,0.45556479605149586
2019,22,Utilities,221474.65848516152,203854.67835434224,0.9204424549005465,0.4555647960514936
2019,23,Construction,133.32875279633208,122.72144453279907,0.9204424549014095,0.4555647960517262
2019,321,Wood products,0.0,-2.7284841053187847e-12,nan,nan
2019,327,Nonmetallic mineral products,129.08987908419076,118.81980520705747,0.9204424549004707,0.45556479605147315
2019,331,Primary metals,0.0,1.7962520360015333e-11,nan,nan
2019,332,Fabricated metal products,0.0,3.6834535421803594e-11,nan,nan
2019,333,Machinery,72826.92521220235,67032.99382517804,0.9204424549005467,0.45556479605149364
2019,334,Computer and electronic products,67353.97170625784,61995.45506460985,0.9204424549005454,0.45556479605149325
2019,335,"Electrical equipment, appliances, and components",10211.012787932745,9398.649677545702,0.9204424549005478,0.45556479605149386
2019,3361MV,"Motor vehicles, bodies and trailers, and parts",198578.65715472543,182780.22668234957,0.9204424549005471,0.45556479605149375
2019,3364OT,Other transportation equipment,124651.9989770457,114734.99194669248,0.9204424549005474,0.4555647960514938
2019,337,Furniture and related products,32854.878425915216,30241.02495380842,0.920442454900547,0.4555647960514937
2019,339,Miscellaneous manufacturing,67921.45770115257,62517.79326687248,0.9204424549005462,0.4555647960514935
2019,311FT,Food and beverage and tobacco products,586111.5910059058,539481.991671141,0.9204424549005465,0.4555647960514936
2019,313TT,Textile mills and textile product mills,0.0,5.6843418860808015e-12,nan,nan
2019,315AL,Apparel and leather and allied products,2713.633181762158,2497.7431875207467,0.9204424549005483,0.4555647960514941
2019,322,Paper products,16574.33092866834,15255.717848317578,0.9204424549005487,0.45556479605149414
2019,323,Printing and related support activities,3667.6778587673193,3375.886412108164,0.9204424549005445,0.45556479605149297
2019,324,Petroleum and coal products,220374.78970750823,202842.31243657053,0.9204424549005463,0.45556479605149347
2019,325,Chemical products,219751.67058248224,202268.76713943636,0.9204424549005474,0.4555647960514938
2019,326,Plastics and rubber products,8066.235781853776,7424.505864856094,0.9204424549005435,0.4555647960514928
2019,42,Wholesale trade,1212379.9337725723,1115925.9625137888,0.9204424549005468,0.4555647960514937
2019,441,Motor vehicle and parts dealers,63276.728451489835,58242.587273964586,0.9204424549005469,0.45556479605149364
2019,445,Food and beverage stores,21156.19667411672,19473.061603082777,0.9204424549005468,0.4555647960514937
2019,452,General merchandise stores,13803.684999966441,12705.497708042967,0.920442454900547,0.4555647960514937
2019,4A0,Other retail,975619.7238559258,898001.8136753421,0.920442454900547,0.4555647960514937
2019,481,Air transportation,157275.92789312484,144763.44116670918,0.9204424549005465,0.4555647960514936
2019,482,Rail transportation,26954.77014521857,24810.31480374495,0.9204424549005469,0.45556479605149364
2019,483,Water transportation,48729.489613796104,44852.69104617317,0.9204424549005464,0.4555647960514935
2019,484,Truck transportation,172890.45856970616,159135.71811478148,0.9204424549005461,0.45556479605149347
2019,485,Transit and ground passenger transportation,50796.99378636676,46755.70966229121,0.9204424549005461,0.45556479605149347
2019,486,Pipeline transportation,10983.927041542354,10110.072770565752,0.9204424549005474,0.4555647960514938
2019,487OS,Other transportation and support activities,28438.406744309643,26175.916917192684,0.9204424549005485,0.4555647960514942
2019,493,Warehousing and storage,0.0,-5.184119800105691e-11,nan,nan
2019,511,"Publishing industries, except internet (includes software)",154437.0811013282,142150.44605658134,0.9204424549005467,0.45556479605149364
2019,512,Motion picture and sound recording industries,39807.119273153716,36640.16258630046,0.9204424549005463,0.45556479605149347
2019,513,Broadcasting and telecommunications,385907.70993491774,355205.8398975434,0.9204424549005458,0.4555647960514934
2019,514,"Data processing, internet publishing, and other information services",74358.60164142092,68442.81383780128,0.9204424549005465,0.4555647960514936
2019,521CI,"Federal Reserve banks, credit intermediation, and related activities",403037.114939444,370972.47149089543,0.9204424549005462,0.4555647960514935
2019,523,"Securities, commodity contracts, and investments",326816.7052623266,300815.9704941642,0.9204424549005464,0.4555647960514935
2019,524,Insurance carriers and related activities,394441.23806307797,363060.4614767904,0.9204424549005467,0.45556479605149364
2019,525,"Funds, trusts, and other financial vehicles",134731.83318614846,124012.8992911094,0.9204424549005464,0.4555647960514935
2019,HS,Housing,2199806.359575717,2024795.165913707,0.9204424549005465,0.4555647960514936
2019,ORE,Other real estate,10772.21243398493,9915.2016574474,0.9204424549005575,0.4555647960514965
2019,532RL,Rental and leasing services and lessors of intangible assets,138253.27941258386,127254.18790056994,0.920442454900547,0.4555647960514937
2019,5411,Legal services,124875.16510623103,114940.4035264903,0.9204424549005461,0.45556479605149347
2019,5415,Computer systems design and related services,46708.8690221974,42992.8260684195,0.9204424549005472,0.4555647960514937
2019,5412OP,"Miscellaneous professional, scientific, and technical services",115502.8651577401,106313.74075383693,0.920442454900545,0.4555647960514932
2019,55,Management of companies and enterprises,27781.0289774688,25570.83851168454,0.9204424549005442,0.4555647960514929
2019,561,Administrative and support services,101330.02674099909,93268.45856862329,0.9204424549005471,0.45556479605149375
2019,562,Waste management and remediation services,21139.85538829263,19458.020389842637,0.9204424549005475,0.45556479605149386
2019,61,Educational services,337053.7378130007,310238.5698660035,0.9204424549005465,0.4555647960514936
2019,621,Ambulatory health care services,1121440.366136756,1032221.3236314836,0.9204424549005467,0.45556479605149364
2019,622,Hospitals,920620.0536547006,847377.7822166056,0.9204424549005467,0.45556479605149364
2019,623,Nursing and residential care facilities,257691.4634170169,237190.16319447345,0.9204424549005467,0.45556479605149364
2019,624,Social assistance,247542.05171910228,227848.21377544853,0.9204424549005464,0.4555647960514935
2019,711AS,"Performing arts, spectator sports, museums, and related activities",104890.10618579887,96545.3068324357,0.9204424549005464,0.4555647960514935
2019,713,"Amusements, gambling, and recreation industries",165796.16547913678,152605.8295667139,0.9204424549005464,0.4555647960514935
2019,721,Accommodation,224047.39944156416,206222.73835607668,0.9204424549005467,0.45556479605149364
2019,722,Food services and drinking places,674914.0333566683,621219.529709641,0.9204424549005463,0.45556479605149347
2019,81,"Other services, except government",505649.39840806864,465421.1735897072,0.9204424549005464,0.4555647960514935
2019,GFGD,Federal general government (defense),683287.06145104,628926.4202437758,0.9204424549005465,0.4555647960514936
2019,GFGN,Federal general government (nondefense),285235.27863766544,262542.66009349434,0.920442454900547,0.4555647960514937
2019,GFE,Federal government enterprises,19984.78211086668,18394.841906778674,0.9204424549005477,0.4555647960514939
2019,GSLG,State and local general government,2380086.9810934695,2190733.1037545037,0.9204424549005464,0.4555647960514935
2019,GSLE,State and local government enterprises,191593.53637664762,176350.82496559864,0.9204424549005462,0.4555647960514935
2020,111CA,Farms,81453.03993877814,70749.81087947753,0.8685963216677317,0.4412262240396166
2020,113FF,"Forestry, fishing, and related activities",0.0,1.5006662579253316e-11,nan,nan
2020,211,Oil and gas extraction,0.0,-2.1827872842550278e-11,nan,nan
2020,212,"Mining, except oil and gas",24242.855248221444,21057.254895328464,0.8685963216677339,0.4412262240396172
2020,213,Support activities for mining,2070.572005914649,1798.4912280856527,0.8685963216677375,0.4412262240396182
2020,22,Utilities,225569.38548281262,195928.7385112221,0.8685963216677335,0.4412262240396171
