year,bea_code,sector_name,required_imported_intermediate_real,import_cap_real,slack_real,required_over_cap
2019,111CA,Farms,16200.175277443483,18114.173708035378,1913.9984305918952,0.8943369727241351
2019,113FF,"Forestry, fishing, and related activities",28655.050193055795,33628.95841554425,4973.908222488455,0.8520944906759474
2019,211,Oil and gas extraction,167999.3434689365,201910.9633989711,33911.61993003459,0.8320466637414529
2019,212,"Mining, except oil and gas",3987.2358106933107,5052.5990863133475,1065.3632756200368,0.7891454957299247
2019,213,Support activities for mining,107.23275877012061,137.4991954212621,30.26643665114149,0.7798791726859715
2019,22,Utilities,739.3718483094068,1003.2246838980753,263.85283558866854,0.7369952715243645
2019,23,Construction,0.0,0.0,0.0,0.0
2019,321,Wood products,8677.629130055237,15375.009593103629,6697.380463048392,0.5643982904535901
2019,327,Nonmetallic mineral products,11935.6568170818,18366.41187716035,6430.755060078549,0.6498632883173251
2019,331,Primary metals,82657.8538086724,96408.82722076838,13750.973412095977,0.857368108206447
2019,332,Fabricated metal products,42024.20138905642,58644.3725201569,16620.171131100484,0.7165939302123508
2019,333,Machinery,92345.74110238615,119834.63499539564,27488.89389300949,0.7706097749280441
2019,334,Computer and electronic products,129416.79645578048,163567.55190573094,34150.75544995046,0.7912131406745477
2019,335,"Electrical equipment, appliances, and components",63464.46517541627,89927.59164005371,26463.12646463744,0.7057285091036423
2019,3361MV,"Motor vehicles, bodies and trailers, and parts",95481.81753422672,126226.45673783247,30744.63920360575,0.7564326845721322
2019,3364OT,Other transportation equipment,55823.08586630497,79660.0870148716,23837.001148566633,0.7007660668997695
2019,337,Furniture and related products,8087.344437799908,9758.462555612725,1671.1181178128172,0.8287519055087578
2019,339,Miscellaneous manufacturing,23523.068878556296,27496.77176652932,3973.702887973024,0.8554847484747264
2019,311FT,Food and beverage and tobacco products,31302.222985251603,35091.100173776416,3788.8771885248134,0.8920274038214328
2019,313TT,Textile mills and textile product mills,25559.915561449972,34445.26937416898,8885.353812719008,0.7420442930435531
2019,315AL,Apparel and leather and allied products,14180.74661208445,17122.038780316285,2941.2921682318356,0.8282160082703947
2019,322,Paper products,18014.16634680207,21738.60184387517,3724.4354970731,0.8286718012583474
2019,323,Printing and related support activities,2482.275771701403,3151.7056482516373,669.4298765502344,0.7875975896030802
2019,324,Petroleum and coal products,45950.398191269596,55032.677853446934,9082.279662177338,0.8349656964474158
2019,325,Chemical products,137775.48200471405,171935.34292236576,34159.860917651706,0.8013214715657621
2019,326,Plastics and rubber products,29012.710940496378,38436.88312537869,9424.172184882314,0.754814349692683
2019,42,Wholesale trade,0.0,0.0,0.0,0.0
2019,441,Motor vehicle and parts dealers,0.0,0.0,0.0,0.0
2019,445,Food and beverage stores,0.0,0.0,0.0,0.0
2019,452,General merchandise stores,0.0,0.0,0.0,0.0
2019,4A0,Other retail,0.0,0.0,0.0,0.0
2019,481,Air transportation,26244.996425130168,33653.61880270938,7408.622377579213,0.7798565907276884
2019,482,Rail transportation,0.0,0.0,0.0,0.0
2019,483,Water transportation,0.0,0.0,0.0,0.0
2019,484,Truck transportation,0.0,0.0,0.0,0.0
2019,485,Transit and ground passenger transportation,0.0,0.0,0.0,0.0
2019,486,Pipeline transportation,0.0,0.0,0.0,0.0
2019,487OS,Other transportation and support activities,26.590005222840695,31.390158947170367,4.800153724329672,0.8470809360217535
2019,493,Warehousing and storage,0.0,0.0,0.0,0.0
2019,511,"Publishing industries, except internet (includes software)",3252.7565179274848,4121.414968085227,868.6584501577422,0.7892329559424798
2019,512,Motion picture and sound recording industries,9162.304853247788,12818.97031276133,3656.6654595135424,0.7147457736232279
2019,513,Broadcasting and telecommunications,85.2468577741993,104.75183963675842,19.50498186255912,0.8137981926599537
2019,514,"Data processing, internet publishing, and other information services",981.1326255201152,1266.5169895323631,285.38436401224794,0.7746699283381736
2019,521CI,"Federal Reserve banks, credit intermediation, and related activities",3796.3937954158023,4771.521861618415,975.1280662026124,0.7956358381072435
2019,523,"Securities, commodity contracts, and investments",40.48171795188727,47.65768760801373,7.175969656126462,0.8494268182890223
2019,524,Insurance carriers and related activities,48602.763649601715,57190.053822725604,8587.290173123889,0.849846440086553
2019,525,"Funds, trusts, and other financial vehicles",0.0,0.0,0.0,0.0
2019,HS,Housing,0.0,0.0,0.0,0.0
2019,ORE,Other real estate,0.0,0.0,0.0,0.0
2019,532RL,Rental and leasing services and lessors of intangible assets,0.0,0.0,0.0,0.0
2019,5411,Legal services,2354.6191911195833,2966.435717183621,611.8165260640376,0.7937536544210351
2019,5415,Computer systems design and related services,15770.879844947642,20089.730269728043,4318.850424780401,0.7850219805445469
2019,5412OP,"Miscellaneous professional, scientific, and technical services",41428.381439472774,52622.11108972563,11193.729650252855,0.7872808707509568
2019,55,Management of companies and enterprises,0.0,0.0,0.0,0.0
2019,561,Administrative and support services,1822.7477575813828,2320.6557770083423,497.9080194269595,0.7854451210041868
2019,562,Waste management and remediation services,226.16963280471577,273.66387537209596,47.494242567380184,0.8264504494690682
2019,61,Educational services,217.95958521164752,244.51005008854264,26.55046487689512,0.89141360501427
2019,621,Ambulatory health care services,5.321871229777828,5.942978419607251,0.6211071898294236,0.8954889037153074
2019,622,Hospitals,0.0,0.0,0.0,0.0
2019,623,Nursing and residential care facilities,0.9134907442445981,1.052113270771604,0.13862252652700602,0.8682437239620194
2019,624,Social assistance,0.0,0.0,0.0,0.0
2019,711AS,"Performing arts, spectator sports, museums, and related activities",321.98433146418785,420.8073709848082,98.82303952062034,0.7651584873873609
2019,713,"Amusements, gambling, and recreation industries",0.0,0.0,0.0,0.0
2019,721,Accommodation,0.0,0.0,0.0,0.0
2019,722,Food services and drinking places,0.0,0.0,0.0,0.0
2019,81,"Other services, except government",3206.4061815104365,4131.220807775791,924.814626265355,0.7761401122581811
2019,GFGD,Federal general government (defense),0.0,0.0,0.0,0.0
2019,GFGN,Federal general government (nondefense),0.0,0.0,0.0,0.0
2019,GFE,Federal government enterprises,226.04215709761831,275.05037216121696,49.00821506359864,0.8218209461833662
2019,GSLG,State and local general government,0.0,0.0,0.0,0.0
2019,GSLE,State and local government enterprises,0.0,0.0,0.0,0.0
2020,111CA,Farms,15282.986555352054,17537.819130482785,2254.832575130731,0.871430275431934
2020,113FF,"Forestry, fishing, and related activities",26129.369904008214,31447.29158436787,5317.921680359657,0.8308941275247009
2020,211,Oil and gas extraction,141627.07213409396,158537.89292085473,16910.82078676077,0.8933326255622497
2020,212,"Mining, except oil and gas",3763.8343238670645,4855.9901342088415,1092.155810341777,0.7750910153939767
2020,213,Support activities for mining,92.1001224892504,119.69327511027348,27.59315262102308,0.7694678118248374
2020,22,Utilities,669.931980374252,955.8872234081504,285.95524303389834,0.7008483469270104
2020,23,Construction,0.0,0.0,0.0,0.0
2020,321,Wood products,8114.4797646314155,15277.75117692683,7163.271412295414,0.5311305093701408
2020,327,Nonmetallic mineral products,11168.966454463909,17716.386352610927,6547.419898147018,0.6304314114722328
2020,331,Primary metals,79172.17067349324,88214.12412846572,9041.953454972478,0.8974999350239568
2020,332,Fabricated metal products,39221.98448375398,56010.767426754326,16788.782943000348,0.7002579376375238
2020,333,Machinery,87707.14889412356,113462.21495133957,25755.066057216012,0.773007550855044
2020,334,Computer and electronic products,121993.33533374224,158611.43666396156,36618.10133021932,0.7691332850871315
2020,335,"Electrical equipment, appliances, and components",60102.10276708503,86385.72935870309,26283.626591618056,0.6957411046160246
2020,3361MV,"Motor vehicles, bodies and trailers, and parts",93248.846585026,116582.2949738786,23333.4483888526,0.7998542712332032
2020,3364OT,Other transportation equipment,45472.18415144205,69933.2258035146,24461.04165207254,0.6502228894631767
2020,337,Furniture and related products,7607.152625408294,9312.970638846957,1705.818013438663,0.8168341682166131
2020,339,Miscellaneous manufacturing,21716.26722732201,26315.249125815903,4598.981898493894,0.8252350993712546
2020,311FT,Food and beverage and tobacco products,28944.74813012805,33481.56493804715,4536.816807919102,0.8644980658367124
2020,313TT,Textile mills and textile product mills,23090.62245164731,32133.338263729795,9042.715812082486,0.7185877253752572
2020,315AL,Apparel and leather and allied products,13505.408124328338,16228.56770062697,2723.1595762986326,0.832199635449441
2020,322,Paper products,16834.22877963393,20856.646132160928,4022.417352526998,0.807139780430736
2020,323,Printing and related support activities,2172.091185133922,2896.679596434847,724.5884113009251,0.7498555200261954
2020,324,Petroleum and coal products,40806.72443879441,49656.60764751865,8849.88320872424,0.8217783367010478
2020,325,Chemical products,128252.57625143879,165511.30959888562,37258.73334744683,0.7748870851318689
2020,326,Plastics and rubber products,27271.092587473882,36169.85842408116,8898.76583660728,0.7539728872512628
2020,42,Wholesale trade,0.0,0.0,0.0,0.0
2020,441,Motor vehicle and parts dealers,0.0,0.0,0.0,0.0
2020,445,Food and beverage stores,0.0,0.0,0.0,0.0
2020,452,General merchandise stores,0.0,0.0,0.0,0.0
2020,4A0,Other retail,0.0,0.0,0.0,0.0
2020,481,Air transportation,24215.65158543349,33046.23170735038,8830.58012191689,0.7327810262870992
2020,482,Rail transportation,0.0,0.0,0.0,0.0
