year,bea_code,sector_name,target,net_social_output,fulfillment,harmony
2019,111CA,Farms,59659.93787537644,55844.7758172952,0.9360515247928899,0.4597386232099928
2019,113FF,"Forestry, fishing, and related activities",0.0,2.955857780762017e-11,nan,nan
2019,211,Oil and gas extraction,0.0,-1.291482476517558e-10,nan,nan
2019,212,"Mining, except oil and gas",26144.307073948687,24472.41850122327,0.9360515247928923,0.45973862320999354
2019,213,Support activities for mining,2892.384159373601,2707.420602668489,0.9360515247928999,0.45973862320999553
2019,22,Utilities,221474.65848516152,207311.6917780207,0.9360515247928931,0.4597386232099937
2019,23,Construction,133.32875279633208,124.80258235376095,0.9360515247930401,0.4597386232100327
2019,321,Wood products,0.0,-2.2737367544323206e-13,nan,nan
2019,327,Nonmetallic mineral products,129.08987908419076,120.83477815207198,0.9360515247927771,0.4597386232099629
2019,331,Primary metals,0.0,-2.1827872842550278e-11,nan,nan
2019,332,Fabricated metal products,0.0,1.546140993013978e-11,nan,nan
2019,333,Machinery,72826.92521220235,68169.75439086012,0.9360515247928948,0.45973862320999415
2019,334,Computer and electronic products,67353.97170625784,63046.78791650015,0.9360515247928949,0.4597386232099942
2019,335,"Electrical equipment, appliances, and components",10211.012787932745,9558.034089824177,0.9360515247928932,0.45973862320999376
2019,3361MV,"Motor vehicles, bodies and trailers, and parts",198578.65715472543,185879.85482100595,0.9360515247928934,0.45973862320999376
2019,3364OT,Other transportation equipment,124651.9989770457,116680.69371094572,0.9360515247928927,0.4597386232099936
2019,337,Furniture and related products,32854.878425915216,30753.859047463062,0.936051524792893,0.45973862320999365
2019,339,Miscellaneous manufacturing,67921.45770115257,63577.98404731984,0.9360515247928929,0.4597386232099936
2019,311FT,Food and beverage and tobacco products,586111.5910059058,548630.6484598662,0.9360515247928923,0.45973862320999354
2019,313TT,Textile mills and textile product mills,0.0,-9.094947017729282e-12,nan,nan
2019,315AL,Apparel and leather and allied products,2713.633181762158,2540.100477517055,0.936051524792892,0.45973862320999337
2019,322,Paper products,16574.33092866834,15514.427738201997,0.9360515247928924,0.4597386232099936
2019,323,Printing and related support activities,3667.6778587673193,3433.1354521482626,0.9360515247928877,0.45973862320999226
2019,324,Petroleum and coal products,220374.78970750823,206282.15793162613,0.9360515247928927,0.4597386232099936
2019,325,Chemical products,219751.67058248224,205698.88632451807,0.9360515247928932,0.45973862320999376
2019,326,Plastics and rubber products,8066.235781853776,7550.412302943265,0.9360515247928985,0.4597386232099952
2019,42,Wholesale trade,1212379.9337725723,1134850.0856361226,0.9360515247928928,0.45973862320999365
2019,441,Motor vehicle and parts dealers,63276.728451489835,59230.27815092288,0.9360515247928928,0.45973862320999365
2019,445,Food and beverage stores,21156.19667411672,19803.290155625287,0.936051524792893,0.45973862320999365
2019,452,General merchandise stores,13803.684999966441,12920.96039197937,0.9360515247928929,0.4597386232099936
2019,4A0,Other retail,975619.7238559258,913230.3301333609,0.9360515247928933,0.4597386232099938
2019,481,Air transportation,157275.92789312484,147218.37211757663,0.9360515247928932,0.45973862320999376
2019,482,Rail transportation,26954.77014521857,25231.053694873775,0.9360515247928924,0.4597386232099936
2019,483,Water transportation,48729.489613796104,45613.31305537326,0.9360515247928926,0.45973862320999354
2019,484,Truck transportation,172890.45856970616,161834.37736631584,0.9360515247928923,0.45973862320999354
2019,485,Transit and ground passenger transportation,50796.99378636676,47548.603488623674,0.9360515247928922,0.4597386232099935
2019,486,Pipeline transportation,10983.927041542354,10281.521655449627,0.9360515247928944,0.4597386232099941
2019,487OS,Other transportation and support activities,28438.406744309643,26619.813995691566,0.9360515247928941,0.45973862320999404
2019,493,Warehousing and storage,0.0,-5.184119800105691e-11,nan,nan
2019,511,"Publishing industries, except internet (includes software)",154437.0811013282,144561.06524946183,0.9360515247928923,0.45973862320999354
2019,512,Motion picture and sound recording industries,39807.119273153716,37261.5146932481,0.9360515247928931,0.4597386232099937
2019,513,Broadcasting and telecommunications,385907.70993491774,361229.5003139132,0.936051524792893,0.45973862320999365
2019,514,"Data processing, internet publishing, and other information services",74358.60164142092,69603.48244791932,0.9360515247928924,0.4597386232099936
2019,521CI,"Federal Reserve banks, credit intermediation, and related activities",403037.114939444,377263.50598719495,0.9360515247928928,0.45973862320999365
2019,523,"Securities, commodity contracts, and investments",326816.7052623266,305917.2752885901,0.9360515247928924,0.4597386232099936
2019,524,Insurance carriers and related activities,394441.23806307797,369217.3223301404,0.9360515247928923,0.45973862320999354
2019,525,"Funds, trusts, and other financial vehicles",134731.83318614846,126115.9378920359,0.9360515247928924,0.4597386232099936
2019,HS,Housing,2199806.359575717,2059132.097129952,0.9360515247928927,0.4597386232099936
2019,ORE,Other real estate,10772.21243398493,10083.345874224598,0.936051524792897,0.4597386232099947
2019,532RL,Rental and leasing services and lessors of intangible assets,138253.27941258386,129412.19300176697,0.9360515247928928,0.45973862320999365
2019,5411,Legal services,124875.16510623103,116889.58870645174,0.9360515247928924,0.4597386232099936
2019,5415,Computer systems design and related services,46708.8690221974,43721.90806957934,0.9360515247928916,0.45973862320999337
2019,5412OP,"Miscellaneous professional, scientific, and technical services",115502.8651577401,108116.63304885036,0.9360515247928914,0.4597386232099933
2019,55,Management of companies and enterprises,27781.0289774688,26004.47453467499,0.936051524792885,0.45973862320999154
2019,561,Administrative and support services,101330.02674099909,94850.12603821658,0.9360515247928906,0.4597386232099931
2019,562,Waste management and remediation services,21139.85538829263,19787.993870112594,0.936051524792894,0.459738623209994
2019,61,Educational services,337053.7378130007,315499.66521700326,0.936051524792893,0.45973862320999365
2019,621,Ambulatory health care services,1121440.366136756,1049725.9646866103,0.9360515247928927,0.4597386232099936
2019,622,Hospitals,920620.0536547006,861747.8049783972,0.9360515247928927,0.4597386232099936
2019,623,Nursing and residential care facilities,257691.4634170169,241212.48725761057,0.9360515247928926,0.45973862320999354
2019,624,Social assistance,247542.05171910228,231712.11496202677,0.9360515247928926,0.45973862320999354
2019,711AS,"Performing arts, spectator sports, museums, and related activities",104890.10618579887,98182.54383090543,0.9360515247928924,0.4597386232099936
2019,713,"Amusements, gambling, and recreation industries",165796.16547913678,155193.7535015607,0.9360515247928926,0.45973862320999354
2019,721,Accommodation,224047.39944156416,209719.9098731584,0.9360515247928926,0.45973862320999354
2019,722,Food services and drinking places,674914.0333566683,631754.3100276307,0.9360515247928928,0.45973862320999365
2019,81,"Other services, except government",505649.39840806864,473313.8903904814,0.9360515247928924,0.4597386232099936
2019,GFGD,Federal general government (defense),683287.06145104,639591.8957425009,0.9360515247928927,0.4597386232099936
2019,GFGN,Federal general government (nondefense),285235.27863766544,266994.9174935124,0.9360515247928929,0.4597386232099936
2019,GFE,Federal government enterprises,19984.78211086668,18706.78576753047,0.9360515247928922,0.4597386232099935
2019,GSLG,State and local general government,2380086.9810934695,2227884.0477922554,0.9360515247928929,0.4597386232099936
2019,GSLE,State and local government enterprises,191593.53637664762,179341.4218658235,0.9360515247928924,0.4597386232099936
2020,111CA,Farms,81453.03993877814,71207.24833537552,0.8742122870907756,0.4428157462128989
2020,113FF,"Forestry, fishing, and related activities",0.0,-5.4569682106375694e-12,nan,nan
