iteration,technology_mode,source_year,destination_year,mean_harmony_before,mean_harmony_after,objective_before,objective_after,gain,cv_before,cv_after,destination_harmony_before,destination_harmony_after,current_worst_fulfillment,desired_worst_fulfillment,step,investment_at_source_real_musd,top_capital_sources,top_capacity_destinations
1,historical,2019,2023,0.3325585991888308,0.34069601250729,1.662792995944154,1.70348006253645,0.04068706659229582,0.4121473223128984,0.379150316828706,0.13378193117186885,0.15342103470215057,0.1698880796704487,0.2644372494269879,0.25,71901.04239811958,5415:19675.253; 333:13487.891; 334:13075.505; 23:10259.329; 42:3832.695,334:37014.510; 5415:21710.574; 514:13175.958
2,historical,2019,2023,0.34069601250729,0.3556964647202852,1.70348006253645,1.778482323601426,0.0750022610649761,0.379150316828706,0.33519790600348054,0.15342103470215057,0.1744273137319489,0.19934719038641624,0.30545738537442946,0.2875,142582.07945585746,5415:34701.820; 333:30193.036; 334:24834.819; 23:20998.159; 42:7809.461,334:83124.662; 514:42900.146; 5415:16557.272
3,historical,2019,2023,0.3556964647202852,0.36706699513242047,1.778482323601426,1.8353349756621022,0.056852652060676245,0.33519790600348054,0.29287299357384006,0.1744273137319489,0.19768028488311354,0.23240842181017413,0.35634698148928723,0.33062499999999995,169606.53035927485,5415:41507.254; 333:35346.689; 334:29787.951; 23:24906.763; 42:9301.046,334:97091.056; 514:52819.138; 5415:19696.336
4,historical,2019,2023,0.36706699513242047,0.37201474271943014,1.8353349756621022,1.8600737135971506,0.024738737935048327,0.29287299357384006,0.2632283008837952,0.19768028488311354,0.22233552812963875,0.27102451712749676,0.4105329117930381,0.3802187499999999,216032.10325592122,5415:49978.416; 333:46377.965; 334:37876.823; 23:31763.397; 42:12410.608,334:109288.161; 514:56634.889; 5415:21799.229; 3361MV:12056.606; 511:9129.036
5,historical,2021,2023,0.37201474271943014,0.37847906448738117,1.8600737135971506,1.892395322436906,0.03232160883975532,0.2632283008837952,0.23699207813671733,0.22233552812963875,0.24106460989719797,0.31449177606685497,0.4619075117821467,0.43725156249999986,242454.91149674694,333:44918.097; 5415:41440.720; 3361MV:37527.575; 334:37211.698; 23:30524.047,334:74724.737; 532RL:36038.371; 514:30157.535; 511:25001.821; 3361MV:24153.531
6,historical,2021,2023,0.37847906448738117,0.3831176651026179,1.892395322436906,1.9155883255130894,0.02319300307618355,0.23699207813671733,0.21410335159455005,0.24106460989719797,0.260424263337807,0.34939874242917945,0.5096253142906187,0.5,280342.3701948421,333:56185.478; 3361MV:46534.924; 5415:43632.883; 334:40528.715; 23:34213.355,334:63283.640; 532RL:40160.273; 514:27661.344; 511:22392.012; 3361MV:21012.846
7,historical,2020,2023,0.3831176651026179,0.38707640672018273,1.9155883255130894,1.9353820336009138,0.019793708087824324,0.21410335159455005,0.19486279045777646,0.260424263337807,0.2774392459856449,0.3873392209490962,0.5352496880455683,0.5,285775.74792054965,333:59233.599; 5415:47661.342; 334:40680.053; 3361MV:38455.219; 23:37753.280,334:69050.250; 532RL:28162.737; 5412OP:25910.579; 514:21663.983; 333:21205.048
8,historical,2020,2023,0.38707640672018273,0.39400370600747847,1.9353820336009138,1.9700185300373922,0.03463649643647848,0.19486279045777646,0.1750392978080361,0.2774392459856449,0.2924244454856558,0.42236333607754506,0.5585202695060343,0.5,309365.0504744529,333:59330.526; 23:51593.489; 5415:44743.676; 334:39858.512; 3361MV:38804.709,334:63500.246; GFGN:36041.640; 532RL:25668.591; 5412OP:23648.271; 514:19722.984
9,historical,2021,2023,0.39400370600747847,0.39845310705269255,1.9700185300373922,1.9922655352634626,0.02224700522607037,0.1750392978080361,0.15863189507184494,0.2924244454856558,0.3061937359921135,0.4546043005329694,0.5848984597693072,0.5,346206.1203474114,23:67600.597; 333:55020.978; 334:48169.172; 3361MV:43842.277; 5415:43392.896,334:49480.728; GFGN:35459.369; 521CI:25740.427; 42:25259.253; 532RL:24020.444
10,historical,2020,2023,0.39845310705269255,0.400970301629976,1.9922655352634626,2.00485150814988,0.012585972886417274,0.15863189507184494,0.14595525155249378,0.3061937359921135,0.31347577869985993,0.48545700300494304,0.6070379368072555,0.5,389820.12806797936,23:78080.451; 333:60264.240; 334:55992.953; 5415:49841.188; 3361MV:46557.737,334:56972.187; GFGN:34120.086; 521CI:30616.973; 4A0:26832.351; 42:24839.101
11,historical,2021,2023,0.400970301629976,0.4027833512878001,2.00485150814988,2.0139167564390004,0.009065248289120476,0.14595525155249378,0.13862880775316705,0.31347577869985993,0.3203413975136926,0.5022741308628837,0.6192885385496609,0.5,195836.74595066416,23:37856.248; 333:29931.487; 334:26660.486; 3361MV:26198.084; 5415:22759.247,334:25044.882; GFGN:16579.478; 521CI:14534.531; 4A0:13524.879; 42:12092.033
12,historical,2022,2023,0.4027833512878001,0.4039189435189957,2.0139167564390004,2.0195947175949787,0.005677961155978295,0.13862880775316705,0.1324788218430995,0.3203413975136926,0.32676882145100705,0.5184596148360544,0.6301686345354311,0.5,173617.2451423963,23:31738.044; 333:25226.290; 334:21196.690; 3361MV:20858.799; 5415:17692.345,211:23306.182; 334:18905.929; GFGN:12968.074; 521CI:11177.259; 4A0:11071.248
13,historical,2021,2023,0.4039189435189957,0.40516102554425704,2.0195947175949787,2.025805127721285,0.00621041012630652,0.1324788218430995,0.12680804280932018,0.32676882145100705,0.3327416721092372,0.5339112552256072,0.6396489325249808,0.5,182725.16106566027,23:32958.704; 333:27360.965; 334:22748.574; 3361MV:21761.677; 5415:19693.278,211:22266.739; 334:22111.284; GFGN:12977.507; 521CI:11476.480; 4A0:10765.933
14,historical,2022,2023,0.40516102554425704,0.40614518512073416,2.025805127721285,2.030725925603671,0.004920797882385752,0.12680804280932018,0.12176730000963507,0.3327416721092372,0.3383130695361522,0.5485369369268954,0.6488884473463562,0.5,152135.4703848063,23:27706.726; 333:22552.099; 334:18593.482; 3361MV:18131.137; 5415:15649.365,211:19999.137; 334:16843.969; GFGN:11059.273; 521CI:9562.791; 4A0:9500.338
15,historical,2022,2023,0.40614518512073416,0.40701557459580223,2.030725925603671,2.035077872979011,0.0043519473753401705,0.12176730000963507,0.11726787629162436,0.3383130695361522,0.3434992385994937,0.5624176016728807,0.657361096346275,0.5,154698.46583923776,23:28327.285; 333:24527.243; 334:19181.028; 3361MV:17371.018; 5415:15889.934,211:18449.564; 334:15865.887; 325:10361.372; GFGN:10166.189; 521CI:8806.850
16,historical,2022,2023,0.40701557459580223,0.4075445700892016,2.035077872979011,2.037722850446008,0.0026449774669967674,0.11726787629162436,0.11349023175468147,0.3434992385994937,0.3483268061924006,0.5755502273194343,0.6652868263410441,0.5,146990.3763577573,23:26779.970; 333:23990.411; 334:18138.476; 3361MV:16363.843; 5415:15031.673,211:17293.440; 334:14974.252; 325:9719.285; GFGN:9517.783; 521CI:8250.273
17,historical,2022,2023,0.4075445700892016,0.4080358985855133,2.037722850446008,2.0401794929275665,0.002456642481558635,0.11349023175468147,0.11021524330866646,0.3483268061924006,0.3528007515940226,0.5879626328849197,0.6723211918704045,0.5,135325.9625252407,23:24423.127; 333:22911.587; 334:16621.346; 3361MV:14931.427; 5415:13841.913,211:15526.591; 334:13967.913; 325:8763.015; GFGN:8487.424; 521CI:7383.344
18,historical,2022,2023,0.4080358985855133,0.4084810345718445,2.0401794929275665,2.0424051728592225,0.0022256799316560105,0.11021524330866646,0.10740198432887012,0.3528007515940226,0.35695049181232785,0.5996311456004476,0.6789259676464412,0.5,128170.67484012009,23:23157.397; 333:21919.558; 334:15709.753; 3361MV:14088.518; 5415:13066.229,211:14581.705; 334:13127.550; 325:8230.411; GFGN:7969.844; 521CI:6933.580
19,historical,2019,2022,0.4084810345718445,0.40984528851554225,2.0424051728592225,2.0492264425777114,0.006821269718488843,0.10740198432887012,0.10523063429453845,0.393756738245738,0.40120939055784877,0.7144531566701026,0.7370361569711258,0.5,18380.734301145512,23:7143.860; 5412OP:5409.543; 3361MV:1504.851; 333:1367.082; 511:738.956,GFGN:12969.610; 487OS:2755.578; 113FF:2323.307; 213:332.240
20,historical,2019,2021,0.40984528851554225,0.41233181836838784,2.0492264425777114,2.061659091841939,0.012432649264227713,0.10523063429453845,0.10390202684065968,0.39757353401149625,0.4037725499250392,0.7259489947790434,0.7449335062679668,0.5,5986.5523721923055,333:2774.514; 23:678.107; 334:531.703; 5415:516.703; 42:451.854,331:3513.979; 3361MV:2472.574
21,historical,2019,2022,0.41233181836838784,0.4129639585203112,2.061659091841939,2.064819792601556,0.00316070075961683,0.10390202684065968,0.1009020769580426,0.40120939055784877,0.4068227379214423,0.7370361569711128,0.7544203736769864,0.5,38361.66085059803,23:14820.234; 5412OP:10708.523; 333:2966.557; 3361MV:2485.054; 334:1630.782,GFGN:25168.835; 722:5323.023; 487OS:3376.168; 113FF:1788.463; 621:1730.844
22,historical,2019,2021,0.4129639585203112,0.41446227803253083,2.064819792601556,2.072311390162654,0.0074915975610982954,0.1009020769580426,0.09996830033330655,0.4037725499250392,0.4084039529456743,0.744933506267956,0.7593768593919594,0.5,6110.929921094945,333:2827.199; 23:717.174; 5415:539.179; 334:534.937; 42:455.733,3361MV:3437.507; 331:2673.423
23,historical,2019,2022,0.41446227803253083,0.41459720020016133,2.072311390162654,2.0729860010008068,0.0006746108381525673,0.09996830033330655,0.09700877711010285,0.4068227379214423,0.4106672648409623,0.7544203736762942,0.7665177316226939,0.5,44842.473406897196,23:17667.911; 5412OP:7849.874; 334:3473.849; 333:3271.127; 3361MV:3197.542,GFGN:17514.531; 4A0:12090.188; 621:6746.161; 722:4406.794; 487OS:2349.413
24,historical,2019,2021,0.41459720020016133,0.4150954788193452,2.0729860010008068,2.075477394096726,0.002491393095919392,0.09700877711010285,0.09616588338000673,0.4084039529456743,0.4115168706886049,0.7593768593909961,0.7692124637248132,0.5,4161.408247358053,333:1925.260; 23:488.380; 5415:367.169; 334:364.280; 42:310.344,3361MV:2340.866; 331:1820.542
25,historical,2019,2021,0.4150954788193452,0.415581610948515,2.075477394096726,2.077908054742575,0.0024306606458486257,0.09616588338000673,0.09586426913025087,0.4115168706886049,0.41331163178906427,0.7692124637237246,0.7749306439382155,0.5,2814.8398600828186,333:1269.942; 23:340.610; 5415:261.622; 334:254.845; 42:206.021,3361MV:1360.922; 331:1058.419; 333:395.499
26,historical,2019,2021,0.415581610948515,0.41601525069930984,2.077908054742575,2.080076253496549,0.0021681987539743375,0.09586426913025087,0.09578945160851307,0.41331163178906427,0.4144488213410131,0.7749306439368678,0.7785719166679158,0.5,2042.941375796,333:904.092; 23:252.793; 5415:197.098; 334:189.554; 42:147.401,3361MV:866.620; 331:673.989; 333:502.332
27,historical,2019,2021,0.41601525069930984,0.41631401503996235,2.080076253496549,2.081570075199812,0.0014938217032627321,0.09578945160851307,0.0957565858294146,0.4144488213410131,0.41523308502616635,0.778571916666942,0.7810913747567831,0.5,1413.5456353896798,333:625.556; 23:174.912; 5415:136.376; 334:131.156; 42:101.990,3361MV:599.629; 331:466.344; 333:347.572
28,historical,2019,2021,0.41631401503996235,0.41651995396603,2.081570075199812,2.08259976983015,0.001029694630338085,0.0957565858294146,0.09574279771718879,0.41523308502616635,0.4157740500140579,0.7810913747560791,0.7828331744378085,0.5,977.2392514550145,333:432.471; 23:120.923; 5415:94.282; 334:90.673; 42:70.509,3361MV:414.547; 331:322.402; 333:240.290
29,historical,2019,2021,0.41651995396603,0.41665274597291635,2.08259976983015,2.0832637298645817,0.0006639600344318097,0.09574279771718879,0.09570498987298422,0.4157740500140579,0.4161472402232527,0.7828331744361385,0.7840366540711853,0.5,1894.2033244683396,23:662.034; 5412OP:525.411; 333:321.735; 334:87.271; 5415:65.143,GFGN:1218.989; 3361MV:286.427; 331:222.761; 333:166.026
30,historical,2019,2021,0.41665274597291635,0.4167408710605843,2.0832637298645817,2.0837043553029213,0.00044062543833955914,0.09570498987298422,0.09567515117845195,0.4161472402232527,0.41640010256349025,0.7840366540711674,0.7848529700430309,0.5,1524.0221220757244,23:562.566; 5412OP:454.820; 333:222.730; 334:64.027; 511:51.416,GFGN:1066.027; 3361MV:194.283; 331:151.098; 333:112.615
31,historical,2019,2021,0.4167408710605843,0.4168002478673607,2.0837043553029213,2.0840012393368035,0.0002968840338821721,0.09567515117845195,0.0956560357643227,0.41640010256349025,0.41657053657040993,0.7848529700430076,0.7854035816682492,0.5,1027.9650606465539,23:379.455; 5412OP:306.780; 333:150.233; 334:43.187; 511:34.680,GFGN:719.044; 3361MV:131.045; 331:101.917; 333:75.960
32,historical,2019,2021,0.4168002478673607,0.4168402602081837,2.0840012393368035,2.0842013010409186,0.0002000617041151287,0.0956560357643227,0.09564360400220065,0.41657053657040993,0.41668541483391597,0.7854035816666485,0.7857748939832574,0.5,693.2219897549148,23:255.891; 5412OP:206.881; 333:101.312; 334:29.124; 511:23.387,GFGN:484.897; 3361MV:88.372; 331:68.729; 333:51.224
33,historical,2019,2021,0.4168402602081837,0.41686722589581837,2.0842013010409186,2.084336129479092,0.00013482843817325119,0.09564360400220065,0.09563543010414101,0.41668541483391597,0.416762847798436,0.7857748939824691,0.7860252572185763,0.5,467.41595453283696,23:172.538; 5412OP:139.493; 333:68.311; 334:19.637; 511:15.769,GFGN:326.949; 3361MV:59.586; 331:46.342; 333:34.539
34,historical,2019,2021,0.41686722589581837,0.41688540013828634,2.084336129479092,2.0844270006914316,9.087121233974926e-05,0.09563543010414101,0.0956300139177275,0.416762847798436,0.4168150415169802,0.7860252572179167,0.7861940521619721,0.5,315.1319301620116,23:116.325; 5412OP:94.046; 333:46.055; 334:13.239; 511:10.632,GFGN:220.429; 3361MV:40.173; 331:31.243; 333:23.286
35,historical,2019,2021,0.41688540013828634,0.41689764967161497,2.0844270006914316,2.084488248358075,6.124766664328263e-05,0.0956300139177275,0.09562640556029595,0.4168150415169802,0.416850222949858,0.7861940521602597,0.786307846269563,0.5,212.44805113663432,23:78.421; 5412OP:63.402; 333:31.048; 334:8.925; 511:7.167,GFGN:148.604; 3361MV:27.083; 331:21.063; 333:15.698
36,historical,2019,2021,0.41689764967161497,0.41690590615628426,2.084488248358075,2.0845295307814213,4.128242334644483e-05,0.09562640556029595,0.09562399260488018,0.416850222949858,0.41687393727488226,0.786307846269513,0.7863845578428095,0.5,143.2167673781657,23:52.866; 5412OP:42.741; 333:20.931; 334:6.017; 511:4.832,GFGN:100.178; 3361MV:18.257; 331:14.199; 333:10.583
37,historical,2019,2021,0.41690590615628426,0.416911471335874,2.0845295307814213,2.08455735667937,2.7825897948474676e-05,0.09562399260488018,0.09562237489086446,0.41687393727488226,0.4168899221536313,0.786384557842227,0.7864362695683833,0.5,96.54327057610874,23:35.637; 5412OP:28.812; 333:14.109; 334:4.056; 511:3.257,GFGN:67.530; 3361MV:12.307; 331:9.572; 333:7.134
38,historical,2019,2021,0.416911471335874,0.4169152225238884,2.08455735667937,2.084576112619442,1.8755940072168187e-05,0.09562237489086446,0.09562128843391136,0.4168899221536313,0.41690069694344944,0.7864362695679832,0.786471128047411,0.5,65.07908091011532,23:24.023; 5412OP:19.422; 333:9.511; 334:2.734; 511:2.196,GFGN:45.522; 3361MV:8.296; 331:6.452; 333:4.809
39,historical,2019,2021,0.4169152225238884,0.41691775101996476,2.084576112619442,2.0845887550998237,1.2642480381686028e-05,0.09562128843391136,0.09562055790298461,0.41690069694344944,0.4169079598239597,0.7864711280461246,0.7864946255624161,0.5,43.86871495435767,23:16.193; 5412OP:13.092; 333:6.411; 334:1.843; 511:1.480,GFGN:30.685; 3361MV:5.592; 331:4.349; 333:3.242
40,historical,2019,2021,0.41691775101996476,0.4169194553681198,2.0845887550998237,2.084597276840599,8.521740775258024e-06,0.09562055790298461,0.09562006630120924,0.4169079598239597,0.4169128554628558,0.7864946255618598,0.7865104646983399,0.5,29.570894573707488,23:10.916; 5412OP:8.825; 333:4.322; 334:1.242; 511:0.998,GFGN:20.684; 3361MV:3.770; 331:2.932; 333:2.185
41,historical,2019,2021,0.4169194553681198,0.4169206041988954,2.084597276840599,2.084603020994477,5.744153877884628e-06,0.09562006630120924,0.09561973530376623,0.4169128554628558,0.41691615543415167,0.7865104646976607,0.7865211414304563,0.5,19.93293834529331,23:7.358; 5412OP:5.949; 333:2.913; 334:0.837; 511:0.672,GFGN:13.943; 3361MV:2.541; 331:1.976; 333:1.473
42,historical,2019,2021,0.4169206041988954,0.41692137858050893,2.084603020994477,2.0846068929025448,3.8719080679427975e-06,0.09561973530376623,0.09561951236019822,0.41691615543415167,0.4169183798250064,0.7865211414304171,0.7865283382965751,0.5,13.436198179571942,23:4.960; 5412OP:4.010; 333:1.964; 334:0.564; 511:0.453,GFGN:9.398; 3361MV:1.713; 331:1.332; 333:0.993
43,historical,2019,2021,0.41692137858050893,0.41692190056145806,2.0846068929025448,2.0846095028072904,2.6099047456540347e-06,0.09561951236019822,0.09561936215897571,0.4169183798250064,0.4169198792066077,0.7865283382965659,0.7865331894753154,0.5,9.05691420103725,23:3.343; 5412OP:2.703; 333:1.324; 334:0.380; 511:0.306,GFGN:6.335; 3361MV:1.155; 331:0.898; 333:0.669
44,historical,2019,2021,0.41692190056145806,0.4169222524093595,2.0846095028072904,2.0846112620467974,1.7592395069598865e-06,0.09561936215897571,0.09561926094884442,0.4169198792066077,0.4169208898857788,0.7865331894752974,0.7865364594943708,0.5,6.104966155294241,23:2.254; 5412OP:1.822; 333:0.892; 334:0.256; 511:0.206,GFGN:4.270; 3361MV:0.778; 331:0.605; 333:0.451
45,historical,2019,2021,0.4169222524093595,0.41692248957703804,2.0846112620467974,2.08461244788519,1.1858383928142757e-06,0.09561926094884442,0.09561919274259444,0.4169208898857788,0.4169215711483619,0.7865364594943515,0.7865386637033291,0.5,4.11515066470272,23:1.519; 5412OP:1.228; 333:0.601; 334:0.173; 511:0.139,GFGN:2.878; 3361MV:0.525; 331:0.408; 333:0.304
46,historical,2019,2021,0.41692248957703804,0.4169226494431223,2.08461244788519,2.0846132472156116,7.993304214082286e-07,0.09561919274259444,0.0956191467744935,0.4169215711483619,0.416922030362905,0.786538663703319,0.7865401494845199,0.5,2.773881048006334,23:1.024; 5412OP:0.828; 333:0.405; 334:0.117; 511:0.094,GFGN:1.940; 3361MV:0.354; 331:0.275; 333:0.205
47,historical,2019,2021,0.4169226494431223,0.41692275720301153,2.0846132472156116,2.0846137860150575,5.38799445948257e-07,0.0956191467744935,0.09561911579221834,0.416922030362905,0.41692233990316957,0.7865401494840131,0.7865411509975211,0.5,1.8697759467349935,23:0.690; 5412OP:0.558; 333:0.273; 334:0.079; 511:0.063,GFGN:1.308; 3361MV:0.238; 331:0.185; 333:0.138
48,historical,2019,2021,0.41692275720301153,0.4169228298401448,2.0846137860150575,2.084614149200724,3.6318566642989936e-07,0.09561911579221834,0.09561909490979759,0.41692233990316957,0.4169225485530724,0.786541150997494,0.7865418260824282,0.5,1.2603506099107342,23:0.465; 5412OP:0.376; 333:0.184; 334:0.053; 511:0.043,GFGN:0.882; 3361MV:0.161; 331:0.125; 333:0.093
