iteration,technology_mode,source_year,destination_year,mean_harmony_before,mean_harmony_after,gain,cv_before,cv_after,destination_harmony_before,destination_harmony_after,current_worst_fulfillment,desired_worst_fulfillment,step,capital_at_destination_gap_real_musd,investment_at_source_real_musd,top_capital_sources,top_capacity_destinations
1,frozen,2019,2023,0.3559797463182118,0.35707867231940255,0.0010989260011907698,0.259493615389566,0.25536158653925417,0.2365481683259825,0.23906803432414708,0.34082436424055046,0.3455957294723319,0.00477136523178144,1491.8353681322124,3654.8075654132354,5415:1111.953; 334:933.576; 23:457.578; 511:298.589; 42:218.125,514:3654.808
2,frozen,2019,2023,0.35707867231940255,0.35816165448438164,0.001082982164979096,0.25536158653925417,0.25133929546778605,0.23906803432414708,0.241554027589672,0.34559572947233197,0.3503340251174641,0.004738295645132138,1481.4956903720315,3629.4766654298433,5415:1104.247; 334:927.105; 23:454.407; 511:296.520; 42:216.613,514:3629.477
3,frozen,2019,2023,0.35816165448438164,0.35922896341606503,0.0010673089316833861,0.25133929546778605,0.24742405828340183,0.241554027589672,0.24400665311514083,0.35033402511746403,0.35503925997848035,0.004705234861016336,1471.158764849391,3604.1525080795855,5415:1096.542; 334:920.636; 23:451.236; 511:294.451; 42:215.102,514:3604.153
4,frozen,2019,2023,0.35922896341606503,0.3602808643747722,0.0010519009587071637,0.24742405828340183,0.24361328222597603,0.24400665311514083,0.2464264078578934,0.3550392599784803,0.3597114488488677,0.004672188870387409,1460.8264647213891,3578.839682359935,5415:1088.841; 334:914.170; 23:448.067; 511:292.383; 42:213.591,514:3578.840
5,frozen,2019,2023,0.3602808643747722,0.3613176173959598,0.0010367530211876086,0.24361328222597603,0.2399044612270245,0.2464264078578934,0.24881378085713635,0.3597114488488675,0.36435061236233557,0.004639163513468063,1450.5006160168061,3553.5426618099586,5415:1081.144; 334:907.709; 23:444.900; 511:290.316; 42:212.081,514:3553.543
6,frozen,2019,2023,0.3613176173959598,0.36233947740523564,0.0010218600092758434,0.2399044612270245,0.236295171682491,0.24881378085713635,0.2511692533504998,0.3643506123623356,0.36895677684408584,0.004606164481750206,1440.182998261918,3528.265806043482,5415:1073.454; 334:901.252; 23:441.735; 511:288.251; 42:210.573,514:3528.266
7,frozen,2019,2023,0.36233947740523564,0.3633466943307112,0.0010072169254755625,0.236295171682491,0.23278306842677665,0.2511692533504998,0.25349329888996264,0.3689567768440858,0.37352997416409894,0.004573197320013156,1429.87534511079,3503.013362293228,5415:1065.771; 334:894.802; 23:438.574; 511:286.188; 42:209.066,514:3503.013
8,frozen,2019,2023,0.3633466943307112,0.36433951321275326,0.000992818882042057,0.23278306842677665,0.22936588089738663,0.25349329888996264,0.25578638345707283,0.3735299741640989,0.37807024159245656,0.004540267428357674,1419.5793449821126,3477.789466970985,5415:1058.097; 334:888.358; 23:435.416; 511:284.127; 42:207.560,514:3477.789
9,frozen,2019,2023,0.36433951321275326,0.36531817431119223,0.000978661098438971,0.22936588089738663,0.22604140948040202,0.25578638345707283,0.2580489655773958,0.3780702415924563,0.3825776216567098,0.0045073800642534785,1409.2966416986299,3452.5981472341273,5415:1050.432; 334:881.924; 23:432.262; 511:282.069; 42:206.057,514:3452.598
10,frozen,2019,2023,0.36531817431119223,0.36628291321004225,0.000964738898850015,0.22604140948040202,0.22280752202776893,0.2580489655773958,0.26028149643412923,0.38257762165670967,0.38705216200130765,0.004474540344597961,1399.0288351314182,3427.4433225640105,5415:1042.779; 334:875.498; 23:429.112; 511:280.014; 42:204.556,514:3427.443
