flow,owner,asset_type,component_real_2019price_5y_musd,component_share_of_component_total,current_cost_5y_musd
depreciation,government,equipment,724815.9608577164,0.039147086574047904,765050.0
depreciation,government,ipp,1200833.665078462,0.0648566560154514,1233413.0
depreciation,government,structures,1225515.8184496916,0.06618973150914506,1373697.0
depreciation,private,equipment,5242904.12544946,0.2831676353477721,5541752.0
depreciation,private,ipp,5057608.031167132,0.27315985042521135,5169570.0
depreciation,private,structures,5063517.890920164,0.2734790401283722,5764712.0
investment,government,equipment,822106.089933797,0.03480783863821368,863569.0
investment,government,ipp,1430200.9805322997,0.06055447777377754,1468605.0
investment,government,structures,1760047.9717214766,0.07452014593412133,1964340.0
investment,private,equipment,5975955.341473541,0.25302098084680635,6273224.0
investment,private,ipp,6271255.713800356,0.2655239507622633,6422341.0
investment,private,structures,7358852.11225898,0.31157260604481773,8475947.0
