flow,year,component_real_2019price_musd,accepted_71sector_real_musd,component_minus_accepted_musd,abs_reconciliation_over_accepted
investment,2019,4537230.0,4537223.0,7.0,1.5427939071983017e-06
depreciation,2019,3477352.0,3477354.0,-2.0,5.751499559722709e-07
investment,2020,4490080.667985273,4488663.290851982,1417.3771332902834,0.00031576820123241063
depreciation,2020,3581745.274459868,3581926.7253738064,-181.45091393822804,5.065734947978088e-05
investment,2021,4730608.7130204635,4727799.733903213,2808.97911725007,0.0005941408848405284
depreciation,2021,3689337.302448142,3689370.5702618575,-33.267813715618104,9.017205803009612e-06
investment,2022,4830298.278156456,4830576.454421194,-278.17626473866403,5.75865566694556e-05
depreciation,2022,3817181.3906615437,3815845.3351203594,1336.0555411842652,0.00035013356775429245
investment,2023,5030200.550558259,5039092.11362318,-8891.563064921647,0.0017645168741574134
depreciation,2023,3949579.5243530744,3945553.5080099627,4026.016343111638,0.0010203932946133733
