technology_mode,year,model_stock_start_real_musd,model_investment_real_musd,model_depreciation_real_musd,model_stock_end_real_musd,observed_stock_end_real_musd
frozen,2019,64244565.838135004,821813.2270404033,3477354.0,61589025.0651754,65316424.0
frozen,2020,61589025.0651754,869323.0470213543,3334613.9185301666,59123734.193666585,66229000.02626537
frozen,2021,59123734.193666585,1379211.9637150757,3200261.5831925133,57302684.57418915,67204759.24157773
frozen,2022,57302684.57418915,791189.478611966,3135388.557752481,54958485.49504863,68143758.86400416
frozen,2023,54958485.49504863,2487777.2101639714,2964533.0715674954,54481729.63364511,69193614.52642632
historical,2019,64244565.838135004,781050.4086204711,3477354.0,61548262.246755466,65316424.0
historical,2020,61548262.246755466,984960.9264629821,3334095.5146384463,59199127.65858,66229000.02626537
historical,2021,59199127.65858,1261860.6216090685,3213354.3028415614,57247633.97734751,67204759.24157773
historical,2022,57247633.97734751,908239.7416258131,3150698.4577160096,55005175.261257306,68143758.86400416
historical,2023,55005175.261257306,2553839.649018788,2993100.826895884,54565914.083380215,69193614.52642632
