technology_mode,year,planned_investment_real_musd,observed_investment_real_musd,observed_depreciation_real_musd,observed_investment_minus_depreciation_real_musd,model_endogenous_depreciation_real_musd,planned_over_observed_investment
frozen,2019,821813.2270404033,4537223.0,3477354.0,1059869.0,3477354.0,0.18112691993327268
frozen,2020,869323.0470213543,4488663.290851982,3581926.7253738064,906736.5654781759,3334613.9185301666,0.19367080814305193
frozen,2021,1379211.9637150757,4727799.733903213,3689370.5702618575,1038429.1636413559,3200261.5831925133,0.2917238549308042
frozen,2022,791189.478611966,4830576.454421194,3815845.3351203594,1014731.1193008348,3135388.557752481,0.16378779760080772
frozen,2023,2487777.2101639714,5039092.11362318,3945553.5080099627,1093538.6056132177,2964533.0715674954,0.4936955217465202
historical,2019,781050.4086204711,4537223.0,3477354.0,1059869.0,3477354.0,0.17214283023348667
historical,2020,984960.9264629821,4488663.290851982,3581926.7253738064,906736.5654781759,3334095.5146384463,0.21943301661106085
historical,2021,1261860.6216090685,4727799.733903213,3689370.5702618575,1038429.1636413559,3213354.3028415614,0.2669022997231086
historical,2022,908239.7416258131,4830576.454421194,3815845.3351203594,1014731.1193008348,3150698.4577160096,0.188018914553054
historical,2023,2553839.649018788,5039092.11362318,3945553.5080099627,1093538.6056132177,2993100.826895884,0.5068055100867247
