technology_mode,bea_code,sector_name,planned_investment_5y_real_musd,observed_investment_5y_real_musd,observed_depreciation_5y_real_musd,investment_gap_real_musd,planned_over_observed
frozen,HS,Housing,375193.65286043193,4428987.548305627,2824834.5278914096,4053793.895445195,0.0847131875554646
frozen,GSLG,State and local general government,158121.32917157942,1691560.8469747705,1226296.425578971,1533439.5178031912,0.09347658374475121
frozen,22,Utilities,71110.84188008179,996676.3422517658,572254.7655571103,925565.500371684,0.07134797814044914
frozen,GFGD,Federal general government (defense),110535.853251595,922814.554262517,860215.0318271586,812278.701010922,0.11978122011733075
frozen,513,Broadcasting and telecommunications,83165.64632590675,873852.7153376061,705095.185562983,790687.0690116994,0.09517123980529872
frozen,514,"Data processing, internet publishing, and other information services",287825.800364436,1020472.9065441194,630031.3436538177,732647.1061796834,0.2820513886440865
frozen,325,Chemical products,137487.20122355194,854055.7557023331,616926.1072842476,716568.5544787811,0.16098152878846803
frozen,5412OP,"Miscellaneous professional, scientific, and technical services",153051.20364310133,772595.9356752308,563340.9370460048,619544.7320321295,0.19809993371158255
frozen,521CI,"Federal Reserve banks, credit intermediation, and related activities",286551.47043924837,773726.3193429938,727376.5646819787,487174.8489037454,0.37035249192837627
frozen,GSLE,State and local government enterprises,39598.4381102719,485215.4870167618,332265.04668415175,445617.0489064899,0.08161000456463989
frozen,622,Hospitals,72571.84294402658,499659.7662332896,388777.5773704838,427087.92328926304,0.14524251870650517
frozen,ORE,Other real estate,36303.06795131552,428357.4438983089,327705.4406240992,392054.37594699336,0.08474947375942832
frozen,GFGN,Federal general government (nondefense),440092.6623878237,783534.1807265122,644336.2035058427,343441.51833868853,0.5616764057182022
frozen,211,Oil and gas extraction,185120.83046487442,509417.6892145669,596256.6780815732,324296.85874969244,0.36339694200705597
frozen,42,Wholesale trade,228839.03103994948,510617.17750069924,421838.5152802295,281778.1464607498,0.4481616387447837
frozen,4A0,Other retail,220273.30315609273,484554.15113075846,349146.23809957225,264280.8479746657,0.4545896524507357
frozen,511,"Publishing industries, except internet (includes software)",203137.2206397414,436269.219875468,374609.35317737935,233131.9992357266,0.4656235447866949
frozen,111CA,Farms,35226.68721415877,251395.9778373689,239506.83589027412,216169.29062321014,0.1401243071476161
frozen,23,Construction,86379.83798320695,298505.20130802365,249120.91420276283,212125.3633248167,0.2893746494355812
frozen,524,Insurance carriers and related activities,127421.96841892802,338823.4851261735,285277.79682328424,211401.51670724544,0.3760718309460684
frozen,81,"Other services, except government",30874.3500887497,238030.1142621783,226593.7662852942,207155.76417342862,0.1297077480488168
frozen,512,Motion picture and sound recording industries,17276.504798540256,218315.9872060529,192813.457889568,201039.48240751264,0.07913531674725312
frozen,621,Ambulatory health care services,102596.00519101118,290489.5773161886,215814.48617657018,187893.57212517742,0.35318308539290105
frozen,311FT,Food and beverage and tobacco products,20987.22484689482,202508.1211552334,172534.0421549554,181520.8963083386,0.10363646024253506
frozen,61,Educational services,18203.614834315737,196722.09336989085,153515.76577017113,178518.47853557512,0.09253467428332011
frozen,532RL,Rental and leasing services and lessors of intangible assets,168411.2353479517,337322.53954460844,378276.47371618444,168911.30419665674,0.49925876751464615
frozen,561,Administrative and support services,126904.13252553303,289617.4802267997,245732.24490534293,162713.34770126664,0.4381784290994946
frozen,523,"Securities, commodity contracts, and investments",104600.512844327,265605.9990523667,193869.0242803995,161005.4862080397,0.39381833700113084
frozen,452,General merchandise stores,1154.0178917660837,151117.02787855643,110138.5682645494,149963.00998679033,0.007636584096224403
frozen,55,Management of companies and enterprises,64288.14359014691,201918.11630772677,201263.26015426117,137629.97271757986,0.31838719955256833
frozen,GFE,Federal government enterprises,10922.385941532415,125490.81112747545,85933.38698659945,114568.42518594304,0.0870373363866243
frozen,711AS,"Performing arts, spectator sports, museums, and related activities",11258.183889093825,113851.92471229273,91681.70046490183,102593.74082319891,0.09888444062358714
frozen,5415,Computer systems design and related services,170238.54598452215,269548.47111924365,221916.03856767854,99309.9251347215,0.6315693250925972
frozen,722,Food services and drinking places,40109.002822433926,138935.4761438683,118303.42293210587,98826.47332143437,0.28868798621959507
frozen,713,"Amusements, gambling, and recreation industries",9492.314790428298,107374.79002413515,75951.40704627956,97882.47523370685,0.08840357022625762
frozen,487OS,Other transportation and support activities,23718.52422547595,120482.8539950632,80558.83177109028,96764.32976958725,0.19686223756326207
frozen,445,Food and beverage stores,1012.83250718911,96415.41790798551,86547.38921271764,95402.5854007964,0.01050488116076737
frozen,324,Petroleum and coal products,25574.765199449128,120077.5819334572,127296.2462636795,94502.81673400807,0.21298534487163281
frozen,3364OT,Other transportation equipment,35789.70664119918,126541.12855392465,127662.80656857751,90751.42191272546,0.2828306262967114
frozen,212,"Mining, except oil and gas",9700.544193168631,94849.94088137626,74779.9077744131,85149.39668820762,0.10227253810627655
frozen,484,Truck transportation,72969.00307067369,156963.3057272286,139456.970584462,83994.30265655492,0.46487937249155215
frozen,486,Pipeline transportation,8491.17948133182,77146.32256427911,65636.95115686217,68655.1430829473,0.1100659007337243
frozen,721,Accommodation,12865.979420140908,79446.26837732116,99509.13581965979,66580.28895718025,0.16194567325724324
frozen,213,Support activities for mining,9754.691085556426,74750.09688341209,75069.18107524312,64995.40579785566,0.130497370468574
