technology_mode,scenario,parameter,factor,final_mean_harmony,final_cv_harmony,capital_transfers,stop_reason,planned_investment_5y_real_musd,planned_over_observed_investment,stock_2023_over_observed,minimum_production_scale,max_import_over_cap,all_transfer_gains_positive
frozen,baseline,none,1.0,0.4196346594277191,0.0848061798974074,86,minimum_step,6349314.926552771,0.2687727901475962,0.7873808877672887,0.6244433352664155,1.0,True
frozen,initial_capital_-10pct,capital,0.9,0.3990515686510364,0.05961678126515394,325,minimum_step,6458960.928925781,0.27341421403776756,0.7180918568633639,0.6244433352664155,1.0,True
frozen,initial_capital_+10pct,capital,1.1,0.4264874664624715,0.09859269133228664,27,minimum_step,5822592.025463933,0.24647608799974022,0.8513909495756717,0.6244433352664155,1.0000000000000002,True
frozen,depreciation_-10pct,depreciation,0.9,0.42631374357412766,0.07064945526232863,59,minimum_step,5985876.604778035,0.25338808598345886,0.8028244702674965,0.6689328444973199,0.9999999999999999,True
frozen,depreciation_+10pct,depreciation,1.1,0.40983115482718446,0.09504067272189555,80,minimum_step,6701438.437826246,0.2836785271753426,0.7716251796275383,0.58358653077999,1.0,True
frozen,labour_-5pct,labour,0.95,0.4196346594277191,0.0848061798974074,86,minimum_step,6349314.926552771,0.2687727901475962,0.7873808877672887,0.6244433352664155,1.0,True
frozen,labour_+5pct,labour,1.05,0.4196346594277191,0.0848061798974074,86,minimum_step,6349314.926552771,0.2687727901475962,0.7873808877672887,0.6244433352664155,1.0,True
frozen,targets_-5pct,targets,0.95,0.4322121735441615,0.0832970533251373,126,minimum_step,6346036.480899412,0.26863401029562894,0.7873767106892311,0.6573087739646479,0.9999999999999999,True
frozen,targets_+5pct,targets,1.05,0.4077930859701514,0.08626308325025103,86,minimum_step,6356583.550237292,0.26908047818808883,0.7874353793630189,0.5947079383489672,1.0,True
frozen,import_envelope_-10pct,imports,0.9,0.40286094042575893,0.09923543727662124,57,minimum_step,5210856.753942916,0.22058072800258405,0.7727559422594453,0.561999001739774,1.0,True
frozen,import_envelope_+10pct,imports,1.1,0.42429005303460404,0.05983443846255443,240,minimum_step,7105271.646486351,0.30077318691444643,0.797009536097899,0.6868876687930574,1.0000000000000002,True
historical,baseline,none,1.0,0.4194880521717638,0.08643638209600185,74,minimum_step,6489951.347337123,0.2747260691466431,0.7885975383254547,0.6304525492873412,1.0000000000000002,True
historical,initial_capital_-10pct,capital,0.9,0.39760350097323544,0.07204165314648844,229,minimum_step,6253157.946031012,0.2647023699139234,0.7150164761474892,0.6094731105622121,0.966723207402613,True
historical,initial_capital_+10pct,capital,1.1,0.4312057980957034,0.09412861216470754,36,minimum_step,6247844.1036559865,0.2644774297025681,0.8561772140479911,0.6304525492873412,1.0000000000000002,True
historical,depreciation_-10pct,depreciation,0.9,0.4269266676266518,0.0734821469087429,105,minimum_step,6289548.561358753,0.26624282070742894,0.8065890563639692,0.676881242793682,1.0,True
historical,depreciation_+10pct,depreciation,1.1,0.4136928065885819,0.10254795193728165,92,minimum_step,6856410.623432166,0.2902386532995619,0.7743243902376691,0.5879827781587054,1.0,True
historical,labour_-5pct,labour,0.95,0.4194880521717638,0.08643638209600185,74,minimum_step,6489951.347337123,0.2747260691466431,0.7885975383254547,0.6304525492873412,1.0000000000000002,True
historical,labour_+5pct,labour,1.05,0.4194880521717638,0.08643638209600185,74,minimum_step,6489951.347337123,0.2747260691466431,0.7885975383254547,0.6304525492873412,1.0000000000000002,True
historical,targets_-5pct,targets,0.95,0.43268937287769954,0.08497363619413252,58,minimum_step,6505337.688848449,0.27537738822374047,0.7888144646882712,0.6636342624077273,0.9999999999999999,True
historical,targets_+5pct,targets,1.05,0.40753251855246314,0.08716247255537377,88,minimum_step,6505543.546437171,0.2753861023793831,0.7887450798893452,0.6004309993212774,1.0000000000000002,True
historical,import_envelope_-10pct,imports,0.9,0.40676208993585466,0.10009859584577471,36,minimum_step,5633802.114233895,0.2384844240517427,0.7777475917504607,0.5674072943586069,1.0,True
historical,import_envelope_+10pct,imports,1.1,0.42257662002629937,0.06723932666570817,226,minimum_step,6975250.831324514,0.29526927701667655,0.7947478109806919,0.6780553265337756,0.9777324778991119,True
